title,price,product_url,raw_images,processed_images
Blush Stripes,$35.00 USD,https://www.casespanther.com/products/blush-stripes,['data/images_raw\\Blush_Stripes_0.jpg'],['data/images_process\\Blush_Stripes_0.jpg']
Blossom Grace (White),$35.00 USD,https://www.casespanther.com/products/blossom-grace-white,['data/images_raw\\Blossom_Grace_(White)_0.jpg'],['data/images_process\\Blossom_Grace_(White)_0.jpg']
Sunset Stripes,$35.00 USD,https://www.casespanther.com/products/sunset-stripes,['data/images_raw\\Sunset_Stripes_0.jpg'],['data/images_process\\Sunset_Stripes_0.jpg']
Blush Stripes (Magsafe),$42.00 USD,https://www.casespanther.com/products/blush-stripes-magsafe,['data/images_raw\\Blush_Stripes_(Magsafe)_0.jpg'],['data/images_process\\Blush_Stripes_(Magsafe)_0.jpg']
Panther Skateboards (White),$35.00 USD,https://www.casespanther.com/products/ysl-skateboards-white,['data/images_raw\\Panther_Skateboards_(White)_0.jpg'],['data/images_process\\Panther_Skateboards_(White)_0.jpg']
Coastal Layers (Blue) (Magsafe),$42.00 USD,https://www.casespanther.com/products/coastal-layers-blue-magsafe,['data/images_raw\\Coastal_Layers_(Blue)_(Magsafe)_0.jpg'],['data/images_process\\Coastal_Layers_(Blue)_(Magsafe)_0.jpg']
White Lace,$35.00 USD,https://www.casespanther.com/products/white-lace,['data/images_raw\\White_Lace_0.jpg'],['data/images_process\\White_Lace_0.jpg']
Coastal Stripes,$35.00 USD,https://www.casespanther.com/products/coastal-stripes,['data/images_raw\\Coastal_Stripes_0.jpg'],['data/images_process\\Coastal_Stripes_0.jpg']
Blush Stripes V2,$35.00 USD,https://www.casespanther.com/products/blush-stripes-v2,['data/images_raw\\Blush_Stripes_V2_0.jpg'],['data/images_process\\Blush_Stripes_V2_0.jpg']
Pretty in Pink,$35.00 USD,https://www.casespanther.com/products/pretty-in-pink,['data/images_raw\\Pretty_in_Pink_0.jpg'],['data/images_process\\Pretty_in_Pink_0.jpg']
PolkaDoll,$35.00 USD,https://www.casespanther.com/products/polkadoll,['data/images_raw\\PolkaDoll_0.jpg'],['data/images_process\\PolkaDoll_0.jpg']
Glamour New York Bling,$35.00 USD,https://www.casespanther.com/products/glamour-new-york-bling,['data/images_raw\\Glamour_New_York_Bling_0.jpg'],['data/images_process\\Glamour_New_York_Bling_0.jpg']
Coastal Clear,$35.00 USD,https://www.casespanther.com/products/coastal-clear,['data/images_raw\\Coastal_Clear_0.jpg'],['data/images_process\\Coastal_Clear_0.jpg']
Blush Botanica,$35.00 USD,https://www.casespanther.com/products/blush-botanica,['data/images_raw\\Blush_Botanica_0.jpg'],['data/images_process\\Blush_Botanica_0.jpg']
Tropical Treasure (Magsafe),$42.00 USD,https://www.casespanther.com/products/tropical-treasure-magsafe,['data/images_raw\\Tropical_Treasure_(Magsafe)_0.jpg'],['data/images_process\\Tropical_Treasure_(Magsafe)_0.jpg']
Pretty in Stars,$35.00 USD,https://www.casespanther.com/products/pretty-in-stars,['data/images_raw\\Pretty_in_Stars_0.jpg'],['data/images_process\\Pretty_in_Stars_0.jpg']
Pretty in Navy,$35.00 USD,https://www.casespanther.com/products/pretty-in-navy,['data/images_raw\\Pretty_in_Navy_0.jpg'],['data/images_process\\Pretty_in_Navy_0.jpg']
Pretty in Blue,$35.00 USD,https://www.casespanther.com/products/pretty-in-blue,['data/images_raw\\Pretty_in_Blue_0.jpg'],['data/images_process\\Pretty_in_Blue_0.jpg']
Noir Panther,$35.00 USD,https://www.casespanther.com/products/noir-panther-case,['data/images_raw\\Noir_Panther_0.jpg'],['data/images_process\\Noir_Panther_0.jpg']
Navy Stripes,$35.00 USD,https://www.casespanther.com/products/navy-stripes,['data/images_raw\\Navy_Stripes_0.jpg'],['data/images_process\\Navy_Stripes_0.jpg']
